unique_id,cm.DESWC,ner.entity.cnt,cm.LDTTRa,message.depth,cm.LDTTRc,cm.LSAGN,liwc.Qmark,message.sim.prev,cm.LDVOCD,liwc.money,cm.DESPL,message.sim.next,message.reply.cnt,cm.DESSC,lsa.similarity,cm.DESSL,cm.DESWLsyd,liwc.i,cm.RDFKGL,cm.SMCAUSwn,Words >6 letters,Total pronouns,Personal pronouns,First-person plural,Second person,Third-person singular,Third-person plural,Indefinite pronouns,Articles,Common verbs,Past tense,Present tense,Future tense,Adverbs,Prepositions,Conjunctions,Negations,Quantifiers,Numbers,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,adjacent_refs,anaphoric_refs,adjectives,adverbs,content_words,flesch,function_words,nouns,paragraphs,pronouns,sentences,sentences_per_paragraph,syllables_per_content_word,verbs,words,words_per_sentence,add_neg_conn_incidence,add_pos_conn_incidence,cau_neg_conn_incidence,cau_pos_conn_incidence,conn_incidence,log_neg_conn_incidence,log_pos_conn_incidence,tmp_neg_conn_incidence,tmp_pos_conn_incidence,mod_per_np,np_incidence,words_before_main_verb,adj_arg_ovl,adj_cw_ovl,adj_stem_ovl,arg_ovl,stem_ovl,cw_freq,min_cw_freq,hypernyms_verbs,and_incidence,if_incidence,logic_operators,negation_incidence,or_incidence,personal_pronouns,pronouns_per_np,ttr,classe
536,158,3,0.576,1,0.435,0.745,0,0.708,0.435,0,8,0.93,0,8,0.528,20.5,1.244,0,32.591,9.45,52,4,4,0,0,1,0,3,20,20,1,5,0,7,29,7,0,5,3,4.308,7,2.034,10.833,0.571,1,82.278,18.987,563.291,34.423,430.38,367.089,1,31.646,8,8,3.135,94.937,158,19.75,6.329,37.975,0,37.975,82.278,6.329,18.987,0,0,0.375,365.346,2.5,0.714,0.714,0.857,0.321,0.679,152553.573,10162.875,0.6,31.646,0,31.646,0,0,6.329,0.01,0.652,2
550,86,3,0.712,1,0.471,0.82,0,0.93,0.471,0,5,0.794,0,5,0.55,18.2,1.355,0,15.911,9.333,35,0,0,0,0,0,0,0,13,12,3,2,0,3,15,1,1,0,0,1.545,1,3.24,8.1,0,0,127.907,23.256,593.023,25.779,406.977,290.698,1,46.512,5,5,3.255,151.163,86,17.2,0,11.628,0,46.512,46.512,0,11.628,0,0,0.467,323.13,1.4,0.25,0.25,1,0.1,1,210617.176,146.6,0.455,0,0,11.628,11.628,0,0,0,0.814,2
559,37,3,0.818,2,0.455,0.794,0,0.794,0.455,0,3,0.74,0,3,0.424,13,1.215,0,36.716,10,12,1,1,0,0,0,0,1,3,1,0,1,0,2,7,2,0,1,0,3.4,0,3.385,12,0,0,135.135,0,513.514,21.987,486.486,351.351,1,81.081,2,2,3.474,27.027,37,18.5,0,54.054,0,27.027,81.081,0,0,0,0,0.279,414.683,11.5,0,0,0,0,0,121990.368,476.5,0,54.054,0,54.054,0,0,0,0,0.919,2
560,48,0,0.763,1,0.458,0.761,0,0.74,0.458,0,2,0.713,207,2,0.702,25.5,1.438,0,11.453,12.444,16,0,0,0,0,0,0,1,3,9,1,4,0,1,12,2,1,1,1,3.333,1,2.857,7.75,0,0,62.5,20.833,541.667,25.313,458.333,291.667,1,104.167,2,2,3.115,166.667,48,24,0,41.667,0,125,145.833,0,62.5,0,0,0.167,390.756,6.5,0,0,3,0,3,310631.115,392.5,0.25,20.833,0,41.667,20.833,0,0,0,0.896,2
562,35,0,0.707,1,0.463,0.676,0,0.713,0.463,0,3,0.865,171,3,0.565,12.667,1.095,0,52.275,13,10,1,1,0,0,1,1,0,7,5,0,2,0,2,4,1,0,0,0,4.667,0,2.5,13.25,0,0,85.714,0,514.286,19.939,485.714,285.714,1,57.143,1,1,3.278,142.857,35,35,0,28.571,0,57.143,57.143,0,57.143,0,28.571,0.875,228.571,3,0,0,0,0,0,126382.611,0,0.2,0,0,0,0,0,0,0.125,0.743,2
576,49,0,0.807,2,0.526,0.865,0,0.865,0.526,0,1,0.867,166,3,0.482,17.333,1.297,0,30.964,7.667,22,0,0,0,0,1,0,0,8,9,1,1,0,3,6,1,1,0,0,6.6,0.667,3.364,11.143,0,1.5,102.041,61.224,591.837,30.253,408.163,224.49,2,81.633,3,1.5,3.103,204.082,49,16.333,0,20.408,0,81.633,102.041,0,61.224,0,0,0.611,246.154,3.667,0,0,0,0,0,328767.483,4712.667,0.2,20.408,0,40.816,20.408,0,20.408,0.056,0.898,2
621,101,1,0.648,1,0.451,0.815,0,0.867,0.451,1,2,0.788,137,5,0.424,21.2,1.58,0,-2.192,10.1,42,2,2,0,0,2,2,2,16,10,4,2,0,5,17,3,0,1,0,2.222,6,3.242,9,0,0,89.109,29.703,554.455,2.174,435.644,326.733,2,49.505,5,2.5,3.804,108.911,101,20.2,0,89.109,0,99.01,148.515,0,69.307,0,9.901,0.293,645.199,9.2,0.75,1,2,0.3,1.2,179885.089,171,0.636,29.703,0,29.703,0,0,0,0,0.752,2
666,80,0,0.733,1,0.395,0.592,0,0.788,0.395,0,3,0.829,0,3,0.631,27.333,1.229,0,41.317,9.692,23,0,0,0,0,1,1,2,10,13,1,4,0,6,12,6,1,3,0,1.333,1.571,2.95,11.091,0,0,37.5,100,562.5,-21.657,437.5,250,1,87.5,1,1,3.067,175,80,80,12.5,25,0,62.5,112.5,0,37.5,0,12.5,0.333,375,6,0,0,0,0,0,289182.956,0,0.5,25,0,37.5,12.5,0,0,0.033,0.775,2
686,126,2,0.61,1,0.383,0.702,0,0.829,0.383,1,1.2,0.863,0,6,0.635,23.167,1.177,0,25.235,12.857,42,2,2,0,0,0,0,2,16,14,3,1,0,7,24,3,1,4,0,4.667,2.25,2.974,15.231,1,1.8,71.429,47.619,571.429,30.12,420.635,301.587,3,63.492,6,2,3.069,150.794,126,21,0,23.81,0,55.556,79.365,0,31.746,0,0,0.53,294.385,5.333,1.2,1.4,2.8,1.467,2.267,321981.486,2128.167,0.368,15.873,0,23.81,7.937,0,0,0,0.698,2
695,91,5,0.66,1,0.36,0.783,0,0.863,0.36,0,2,0.598,0,2,0.642,46.5,1.298,0,22.211,29.455,28,7,7,2,0,1,2,2,8,11,0,6,0,5,16,3,0,2,2,4,2.333,2.929,9.692,0,0,32.967,76.923,560.44,15.789,417.582,307.692,1,109.89,2,2,2.941,142.857,91,45.5,10.989,43.956,0,32.967,98.901,0,32.967,0,10.989,0.308,312.5,0,3,3,3,3,3,1439363.706,0,0.909,10.989,0,10.989,0,0,10.989,0.053,0.703,2
